,UserName,Handle,DateTime,Text,Emoji,EmojiTitles,Likes,Retweets
0,unruly,@getunruly,2021-05-25T21:14:38.000Z,Dazed did a thing. Remembering them 20 - 10 - 20  #EndSARS,🕊,,879,356
1,Chris Okafor,@ChrisOkafor11,2021-05-26T05:44:18.000Z,I remember the deafening noise around this duo in the heat of the #EndSARS protest. Really sad that the many horrifying allegations against them were smoothly swept under the rug. Where are they?,,,701,761
2,‘Dayo,@oladayoraji_,2021-05-25T06:36:08.000Z,These shots will never not be surreal...  let’s never forget to #EndSARS,,,536,210
3,LOVE-DENNIS,@dennisaunch,2021-05-26T05:59:20.000Z,"Please retweet as soon as you see this , innocent people are being arrested in imo 
#Endsars
Riyad CBN governor.  Benue Naira Chukwueze Manchester united",🧢,Billed cap,1.3K,2.5K
4,FS Yusuf,@FS_Yusuf_,2021-05-26T05:34:30.000Z,"Emefiele that blocked bank accounts of several young #EndSARS protesters for months, is begging bandits to drop arms and embrace Anchor Borrowers Programme. 

What is happening? Why are these terrorists getting all these advocacy?",,,2.6K,1.8K
5,Alex Teflondon,@lex_Teflondon,2021-05-26T05:55:30.000Z,"I honestly can not wait for the day this failure called buhari leaves office, we'll celebrate even more than we celebrated abacha's death... let's not also forget that Nigeria does not revolve around PDP & APC, Tinubu and Atiku are not better options.
 #endsars cbn governor naira",,,1.5K,691
6,"Ochendo n'onwe ya, King Elf.",@King__Rume,2021-05-27T11:02:06.000Z,Happy children’s day to the children of Lagos state who lost loved ones at the #LekkiMassacre during #EndSARS. It’s been over 8 months and we still don’t know who gave the order.,,,1.1K,1.3K
7,LENSMAN • 007,@lumigraphy,2021-05-27T16:16:53.000Z,Happy Children’s Day #EndSARS 19/10/20,,,41,8
8,Chlorpheniramine #EndSARS,@VictorIsrael_,2021-05-27T06:55:20.000Z,"If you helped lend your voice during #EndSARS protest, happy Children’s day to you. 

                  Signed: Desmond Elliot",,,1.3K,616
9,David Hundeyin,@DavidHundeyin,2021-05-21T19:13:38.000Z,"It's got to #EndSARS Abuja protesters now

Our own 
@seunmaiye
's aunt has been missing since Saturday May 16, 2021. Her last known location is Agege, Lagos.",😕,Confused face,1.1K,3.3K
10,Billionaire_Girl,@AkposMalafakumo,2021-05-22T11:07:38.000Z,"The day I became a Nigerian by choice.
I will never forget
#EndSARS",☺,Smiling face,298,53
11,NEFERTITI,@firstladyship,2021-05-22T06:21:40.000Z,"Under Buhari:
1. General Alex Badeh killed
2. Shiites, Biafrans, slaughtered.
3. Osinbajo survived 2 air crashes.

4. Former COAS, Buratai’s army, killed #EndSARS peaceful protesters, at Lekki Tollgate.

5. Chief of Army Staff, Gen. Ibrahim Attahiru & others die in a plane crash.",,,1.3K,829
12,DANIEL OBASI,@iamdanielobasi,2021-05-25T11:17:43.000Z,"In honor of the #EndSARS  movement  
@Dazed
 

Photographed by Luis Alberto Rodriguez 
Styled by Ibkamara, Daniel Obasi and 
@olaoluebiti
 

Grateful to all the activists for being a part of this. 
Read more here http://bit.ly/2RL1enB",🕊 🌹,Rose,948,437
13,Mrs. Doubtfire,@SWATSARSAWAY,2021-05-25T04:40:11.000Z,"THE BREAKING OF THE DAWN ...

#EndSARS ",✊ ✊ ✊,Raised fist Raised fist Raised fist,20,13
14,Akusoronwa Chijioke,@AChijioke,2021-05-24T21:35:18.000Z,"6years of Buhari president speech:
Monday: The Presidency said...
Tuesday: The Presidency said...
Wednesday: The Presidency said...
Thursday: The Presidency said...
Friday: The Presidency said...
Saturday: The Presidency said...
Sunday: The Presidency said...

#CMAViews #EndSARS",,,114,94
15,Optcars,@cars_opt,2021-05-26T06:07:09.000Z,"Please Retweet 
Preowned 2006 Toyota matrix...
For sale
Tokunbo standard 
First body 
Well maintained 

- Cost: 1.8m
- Location: Kaduna 
- Call: 09016011178

#endsars naira Abaya",⚪ 🔥 💥 💥 💥,Fire Collision symbol Collision symbol Collision symbol,17,20
16,Natasha G,@Natashagoldd,2021-05-26T07:27:10.000Z,"Breaking News: E be like say they don reloot £4.2m Ibori loot  

Abi Buhari wan also use am build Airport for Niger Republic. Since he is building refinery and rail way

9ja our Country oo. #EndSARS",😂,Face with tears of joy,144,48
17,#RevolutionNow,@RevolutionNowNg,2021-05-26T09:12:15.000Z,"This is one of ours - Emmanuel Larry, activist, organizer, photographer and graffiti artiste. Locked up for pasting #BuhariMustGo posters #FreeKogi2 #Endsars",,,50,48
18,Blend Forward | ENDSARS,@BlendForward,2021-05-28T06:58:41.000Z,"219 days since the Lekki massacre 
Do your part in making Nigeria great again! 
Share for awareness 
#EndSARS #endpolicebrutality #EnoughIsEnough #EndPoliceBrutalityinNigeria Ghost Dubai Biafra 
@sars_watch",💔,Broken heart,100,77
19,𝕗𝕦𝕟𝕞𝕚𝕓𝕚,@FBI_OJELA,2021-05-26T06:49:34.000Z,"Please any update on this 2 guys ?

#EndSARS

| Iheanacho Riyad Mahrez CBN Governor Manchester United Chukwueze IPOB South East MUFC |",,,607,454
20,Amaka Ekwo,@Amaka_Ekwo,2021-05-25T13:39:21.000Z,"The killings by Fulani Herdsmen must stop, for only the living can vote.
#EndSARS 
@UKinNigeria
 @EUinNigeria
 @USinNigeria",,,354,480
21,Duckie Thot,@duckiethot,2021-05-22T08:26:00.000Z,it’s still #EndSARS,,,849,241
22,Jegzy,@Jegzymichael,2021-05-26T05:24:49.000Z,"Ain't we vindicated?

Till date, all Nigerian ""yoots"" arrested for various crimes, home and abroad, all took part Endsars riots!
#EndSARS",,,19,8
23,Of Ibadan,@Nifemi82259542,2021-05-22T12:02:19.000Z,"Ibadan Micra is nobody's mate, this is what is always in their mind....... those Micra drivers are demons........Micra Akure Nigeria Ikonko #Buharimustgo #EndSARS",,,14,2
24,Autorush,@Autorush2,2021-05-27T14:58:59.000Z,"Hooooooooot deal 

Super sharp Toyota Camry now available for 2 million naira only

Location: Lagos
Call/WhatsApp: 09056871781

Terri Aunty Kate Sharia #EndSARS",🔥 🔥 🔥 🔥 🔥 🔥 🔥 🦅,Fire Fire Fire Fire Fire Fire Fire Eagle,16,14
